F70(Mild)|F71(Moderate)|F72(Severe)|F73(Profound),1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F88_Global Developmental Delay,0,1,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F79,0.002,0.028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F80.2,0,0,0,1,0.058,0.021,0.021,0,0.005,0.001,0,0,0.003,0.009,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002,0.004,0,0.006,0.003,0,0,0.002,0.002,0,0,0,0.003,0.003,0.001,0,0,0,0.002,0,0,0.005,0.007,0,0,0.004,0.003,0,0,0.002,0.006,0,0,0.002,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F80.0,0,0,0,0.058,1,0.023,0.006,0,0,0,0,0,0.002,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F80.81,0,0,0,0.021,0.023,1,0.007,0,0,0.002,0,0,0.001,0.003,0.006,0.001,0.001,0.001,0,0,0,0,0.008,0.002,0.001,0.001,0.001,0,0.004,0,0.005,0,0,0,0,0,0.004,0,0.004,0,0,0.001,0,0,0,0,0.003,0,0,0.002,0.003,0,0,0.002,0,0.003,0,0.003,0,0,0,0,0,0,0.001,0.001,0.005,0.003,0,0,0,0.003,0.002,0,0,0,0,0.001,0.003,0,0,0,0.002,0.001,0.002,0.006,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0.003,0.001,0.002,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.003,0.001,0,0.001,0,0,0,0.002,0.004,0,0.007,0.004,0,0,0.002,0.002,0,0,0,0.003,0.003,0.004,0,0,0,0.002,0,0,0.008,0.008,0,0,0.005,0.004,0,0,0.007,0.006,0,0,0.003,0,0,0.002,0.003,0,0,0,0,0,0.003,0.003,0.003,0.004,0.001,0.004,0.006,0.01,0.009,0.009,0.006,0.007,0,0,0,0.002,0,0.001,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F80.82,0,0,0,0.021,0.006,0.007,1,0,0.02,0.001,0,0,0.002,0.003,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0.003,0.004,0,0.004,0.002,0,0,0.003,0.004,0,0,0,0.004,0.004,0.005,0,0,0,0.003,0,0,0.005,0.005,0,0,0.005,0.004,0,0,0.004,0.006,0,0,0.001,0,0,0.004,0.005,0,0,0,0,0,0.001,0.001,0.002,0.001,0,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F80.9,0,0,0,0,0,0,0,1,0.019,0,0.357,0.684,0,0,0,0,0,0,0.373,0.728,0.27,0.649,0,0,0,0,0,0.017,0.02,0,0.047,0.234,0.211,0.543,0.014,0.046,0.053,0.019,0.054,0.137,0.579,0,0.03,0.024,0,0.035,0.023,0.159,0.55,0.019,0,0.035,0.033,0,0.036,0.034,0.018,0.046,0,0.603,0.019,0.04,0.037,0.045,0.047,0.016,0.046,0.231,0.568,0,0,0.013,0.015,0.014,0.235,0.568,0.019,0.022,0.042,0.189,0.55,0,0,0.023,0,0,0.255,0.383,0,0,0,0,0,0,0.174,0.579,0.026,0,0.358,0.603,0.022,0.007,0,0,0,0,0.005,0.02,0.023,0.029,0.007,0.032,0.277,0.589,0.324,0.589,0.304,0.565,0,0,0,0,0,0,0,0,0.177,0.39,0.005,0.014,0.285,0.608,0.007,0,0,0,0,0.301,0.543,0,0,0.067,0.381,0.063,0.051,0.381,0,0,0.077,0.381,0,0,0,0,0.076,0.381,0.381,0,0,0.381,0,0,0.069,0.381,0,0,0.059,0.355,0,0,0.094,0.381,0,0.041,0.381,0,0,0.035,0.361,0.004,0,0.26,0.53,0,0,0,0,0,0,0.002,0,0,0,0,0,0.398,0,0,0,0,0,0,0,0,0,0,0.056,0.358,0.623,0.039,0.036,0.038,0.047,0.039,0,0.045,0.038,0.307,0.623,0.184,0.325,0.354,0.55
F84.0,0,0,0,0.005,0,0,0.02,0.019,1,0,0.017,0.018,0.001,0.003,0.014,0,0,0,0.018,0.019,0.015,0.02,0,0.009,0.011,0.006,0.006,0.004,0.004,0,0.01,0.021,0.011,0.017,0.003,0.009,0.01,0.004,0.01,0.007,0.019,0,0.006,0.004,0,0.007,0.005,0.009,0.019,0.003,0,0.007,0.007,0,0.008,0.008,0.004,0.009,0,0.019,0.003,0.007,0.007,0.01,0.01,0.003,0.009,0.024,0.018,0.001,0,0.003,0.004,0.005,0.013,0.018,0.004,0.004,0.009,0.01,0.019,0,0,0.005,0,0,0.017,0.021,0.001,0.001,0,0,0.001,0.001,0.009,0.019,0.003,0,0.019,0.019,0.004,0.003,0,0,0,0,0,0.004,0.005,0.005,0.001,0.006,0.015,0.019,0.018,0.019,0.016,0.018,0,0,0,0,0,0,0,0,0,0,0,0.004,0.017,0.021,0.002,0.001,0,0,0,0.016,0.017,0.001,0,0.013,0.026,0.012,0.011,0.026,0.001,0,0.015,0.026,0.002,0.001,0,0,0.014,0.026,0.026,0.001,0,0.026,0.001,0,0.013,0.026,0.001,0,0.011,0.024,0.001,0,0.018,0.026,0.001,0.008,0.026,0.001,0,0.008,0.024,0,0,0.015,0.02,0,0,0.001,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0.001,0.011,0.019,0.02,0.007,0.006,0.008,0.008,0.007,0,0.008,0.007,0.027,0.02,0.011,0.012,0.02,0.02
F90.2(Combined presentation)|F90.0(Predominantly inattentive presentation)|F90.1(Predominantly hyperactive/impulsive presentation),0,0,0,0.001,0,0.002,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0.002,0.005,0.002,0.009,0,0,0,0.004,0.003,0.003,0.001,0.003,0,0,0.009,0.001,0,0.002,0.002,0.003,0,0,0.001,0.002,0,0,0.002,0,0.002,0.002,0.003,0,0,0,0,0.001,0,0,0.002,0.004,0.003,0,0,0,0,0.001,0.001,0,0,0.001,0,0.001,0,0,0,0.001,0.001,0.002,0.002,0,0,0,0.003,0.002,0.001,0,0.001,0,0,0,0,0,0,0.002,0.001,0,0.002,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0.005,0.003,0.008,0,0,0,0,0,0.003,0.005,0,0.005,0.004,0,0,0.002,0.003,0,0,0,0.003,0.003,0.004,0,0,0,0.002,0,0,0.005,0.005,0,0,0.005,0.005,0,0,0.004,0.006,0,0,0.003,0,0,0.004,0.004,0,0,0,0,0,0.004,0.004,0.004,0.004,0,0.005,0.004,0.005,0.005,0.005,0.007,0.01,0,0.002,0.002,0.003,0.004,0,0,0,0,0,0,0.005,0,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0
